Part,Value,Device,Package,Description,PROD_ID,SF_ID,VALUE
I2C_DEV2,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,CONN-13694,,QWIIC_RIGHT_ANGLE
LOGO1,QWIIC_LOGO_4MM,QWIIC_LOGO_4MM,QWIIC_4MM,Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.,,,
LOGO2,QWIIC_LOGO_4MM,QWIIC_LOGO_4MM,QWIIC_4MM,Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.,,,
M1,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M2,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M3,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M4,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M5,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M5V,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
PWM_SET_1,6pin,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PWM_SET_2,6pin,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PWM_SET_3,8pin,CONN_08LOCK,1X08_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PWR_SWITCHER,STPS30170CG-TR_2_DIODES,STPS30170CG-TR,TO-263-3,,,,
PYRO_1,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PYRO_2,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PYRO_3,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PYRO_4,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PYRO_5,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
PYRO_5V,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
R1,10,10OHM-0603-1/10W-1%,603,10Ω resistor,RES-12581,,10
R2,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,RES-07856,,1k
R3,4.7k,4.7KOHM-0603-1/10W-1%,603,4.7kΩ resistor,RES-07857,,4.7k
R4,4.7k,4.7KOHM-0603-1/10W-1%,603,4.7kΩ resistor,RES-07857,,4.7k
R5,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R6,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,RES-07856,,1k
R7,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R8,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
R9,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
R10,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R11,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R12,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R13,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R14,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,RES-07856,,1k
R15,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
R16,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
RADIO,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTOR_SERIAL_RADIO_MODIFIEDJS-1MM,JST04_1MM_RA,SparkFun I2C Standard Qwiic Connector,CONN-13694,,QWIIC_RIGHT_ANGLE
T4.1_L,24p,CONN_24LOCK,1X24_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
T4.1_R,24p,CONN_24LOCK,1X24_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
TEENSY_4.1,TEENSY_4.1,TEENSY_4.1,TEENSY_4.1,,,,
V1_5V,6 pin,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
V2,6 pin,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
V3,8 pin,CONN_08LOCK,1X08_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
VREG1_IN,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
VREG1_TO_5V,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
VREG2_IN,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
VREG2_OUT,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
VREG3_IN,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
VREG3_OUT,XT-30,CONN_02_XT-30_CONNECTOR1X02_XT-30,1X02_BIG_XT-30,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,
